pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,e_count,s_count
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1771,1774/ 75,1771,Ernennung,Generalvikar,#,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Kurmainzischer Hof- und Staatskalender 1774: S. 16 / 1775: S. 17 / May: Organisation: S. 336 / Jürgensmeier: Bischofslexikon: S. 271.,16,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,19.03.1736,#,1736,Ernennung,Domprobst,Domkapitel Minden,Minden,4,Germany,Dom Minden Germany,52.288856,8.9191982,Ernennung durch König FriedrichWilhelmI. in Preußen,ohne Quellenangabe,16,#
Christoph Rudolf von Stadion,#,#,#,#,#,Ernennung,Statthalter zu Erfurt,Erzstift Mainz,Erfurt,5,Germany,Erfurt Germany,50.9847679,11.0298799,#,Wurzbach: Stadion: S. 26,16,#
Christoph Rudolf von Stadion,#,#,1699,#,1699,Ernennung,Rector magnificus,#,Erfurt,5,Germany,Erfurt Germany,50.9847679,11.0298799,#,Wurzbach: Stadion: S. 26 / Universität Erfurt: Rektoren,16,#
Johann Philipp Franz Graf von Schönborn,#,#,1717,#,1717,Ernennung,Statthalter,Erzstift Mainz,Erfurt,5,Germany,Erfurt Germany,50.9847679,11.0298799,#,Greipl: Schönborn: S. 442,16,#
Johann Philipp Franz Graf von Schönborn,#,#,1719,#,1719,Ernennung,Rektor,Julius-Maximilians Universität,Würzburg,2,Germany,Julius-Maximilians Universität Würzburg Germany,49.7881814,9.93526,#,Würzburg Wiki: Schönborn,16,#
Heinrich Ferdinand von der Leyen,#,#,26.01.1679,#,1679,Ernennung,Archidiakon,Erzbistum Trier,Karden an der Mosel,1,Germany,Karden an der Mosel Germany,50.1723814,7.3028282,#,Wikipedia: Heinrich Ferdinand,16,#
Christoph Rudolf von Stadion,#,#,#,#,#,Ernennung,Geheimrat,Erzstift Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Wurzbach: Stadion: S. 26,16,#
Christoph Rudolf von Stadion,1679,#,#,#,1679,Ernennung,Hofratspräsident,Erzstift Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Wurzbach: Stadion: S. 26,16,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,#,#,#,Ernennung,Geheimrat,Erzstift Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Robins: Adel: S. 277,16,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,1735,#,1735,Ernennung,Generalvikar,Erzbistum Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Nottarp: S. 121 / Datum: https://kalliope-verbund.info/de/eac?eac.id=116461977 (zuletzt aufgerufen am 17.06.2022).,16,#
Johann Wilhelm Wolff-Metternich zur Gracht,#,15.12.1694,#,#,1694,Ernennung,Geheimer Rat,Erzstift Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,Übte dieses Amt laut seinem Grabstein aus,Arens: Mainzer Inschriften: S. 40ff.,16,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,#,#,#,Ernennung,Ehrenritter des Malteserorden,#,Mainz,12,Germany,Mainz Germany,49.9928617,8.2472526,#,Robins: Adel: S. 277 / Kurmainzischer Hof - und Staatskalender 1773: S. 7,16,#
Heinrich Wilhelm Harff von Dreyborn,1777,1781,#,#,1777,Ernennung,Archidiakon,Erzbistum Mainz,Rheingau,1,Germany,Rheingau Germany,51.165691,10.451526,#,Kurmainzer Hof- und Staatskalender 1777: S. 5,16,#
Heinrich Ferdinand von der Leyen,#,#,26.01.1679,#,1679,Ernennung,Probst,Stift St. Kastor,Karden an der Mosel,1,Germany,Stift St. Kastor Karden an der Mosel Germany,50.183648,7.3013025,#,Pauly: Bistümer: S. 313,16,#
Dietrich Kaspar von Fürstenberg,#,#,1644,#,1644,Flucht,#,#,Oberlahnstein,1,Germany,Oberlahnstein Germany,50.3078274,7.6093633,#,Lahrkamp et al.: Geschichte: S. 98,1,#
Dietrich Kaspar von Fürstenberg,#,#,1647,#,1647,Flucht nach Brüssel,Flüchtling,#,Brüssel,2,Belgium,Brüssel Belgium,50.8476424,4.3571696,#,Lahrkamp et al.: Geschichte: S. 98,1,#
Dietrich Kaspar von Fürstenberg,#,#,1648,#,1648,Flucht nach Douai,#,#,Douai,1,France,Douai France,50.367874,3.080602,#,Lahrkamp et al.: Geschichte: S. 98,1,#
Marquard Schenk von Castell,#,#,09.08.1605,#,1605,Geburt,Geburt,#,Berg bei Liebenau (oder Liebenthann?) bei Augsburg,2,Germany,Berg bei Liebenau (oder Liebenthann?) bei Augsburg Germany,48.3705449,10.89779,zwei Geburtsdaten angegeben: das spätere als Taufdatum?,"Reiter: Ernst: ""Marquard II."" in: Neue Deutsche Biographie 16 (1990): S. 239-240 (https://www.deutsche-biographie.de/sfz58490.html#ndbcontent_leben)",15,#
Marquard Schenk von Castell,#,#,10.08.1605,#,1605,Geburt,Geburt,#,Berg bei Liebenau (oder Liebenthann?) bei Augsburg,2,Germany,Berg bei Liebenau (oder Liebenthann?) bei Augsburg Germany,48.3705449,10.89779,zwei Geburtsdaten angegeben: das spätere als Taufdatum?,Reiter: Marquard II.: S. 239-240,15,#
Lothar Friedrich von Metternich-Burscheid,#,#,29.09.1617,#,1617,Geburt,Geburt,#,Burscheid,1,Germany,Burscheid Germany,51.085636,7.1105932,Luxemburg,Rauch: Mainzer Inschriften: S. 174: Christ: Metternich-Burscheidt: S. 9,15,#
Christoph Rudolf von Stadion,#,#,30.12.1638,#,1638,Geburt,#,#,#,22,Germany,Germany,51.165691,10.451526,#,Rauch: Domkapitel Mainz: S. 168,15,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,03.01.1738,#,1738,Geburt,#,#,#,22,Germany,Germany,51.165691,10.451526,Kein Ort gefunden,Rauch: Domkapitel Mainz: S. 177,15,#
Heinrich Wilhelm Harff von Dreyborn,#,#,22.09.1715,#,1715,Geburt,#,#,#,22,Germany,Germany,51.165691,10.451526,Kein Ort gefunden,Rauch: Domkapitel Mainz: S. 177.,15,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,19.11.1701,#,1701,Geburt,#,#,#,22,Germany,Germany,51.165691,10.451526,#,Nottarp: Mindener Domprobst: S. 120 / Schrader: S.109 / Staatskalender 1779: S. 3,15,#
Hugo Wolfgang von Kesselstatt,#,#,1659,#,1659,Geburt,#,#,#,22,Germany,Germany,51.165691,10.451526,#,Wikipedia: Hugo Wolfgang von Kesselstatt,15,#
Johann Heppenheim genannt von Saal,#,#,1609,#,1609,Geburt,#,#,#,22,Germany,Germany,51.165691,10.451526,#,Hersche: Deutsche Domkapitel: S. 128,15,#
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,30.11.1624,#,1624,Geburt,#,#,#,22,Germany,Germany,51.165691,10.451526,Wikipedia: Johann Wilhelm Wolff von Metternich zur Gracht: nennt 13.11.1624 als Geburtsdatum,Rauch: Domkapitel Mainz: S. 154 / Schleicher: Ernst von Oidtman: Bd. 16: S. 720,15,#
Heinrich Ferdinand von der Leyen,#,#,31.03.1642,#,1642,Geburt,#,#,Köln,5,Germany,Köln Germany,50.937531,6.9602786,Geburtsdatum auf Wikipedia kann nicht stimmen,Rauch: Domkapitel Mainz: S. 175 / Wikipedia: Heinrich Ferdinand / Arens: Mainzer: S. 56,15,#
Dietrich Kaspar von Fürstenberg,#,#,06.03.1615,#,1615,Geburt,#,#,Königstein,1,Germany,Königstein Germany,50.17874,8.47191,#,Rauch: Domkapitel Mainz: S. 174 / Lahrkamp et al.: Geschichte: S. 96,15,#
Adolph Hund von Saulheim,#,#,um 1595,#,1595,Geburt,#,#,Speyer,1,Germany,Speyer Germany,49.3172765,8.4412172,#,Thesaurus Personarum: Pfälzische Personengeschichte,15,#
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,18.01.1674,#,1674,Geburt,Geburt,#,Trier,2,Germany,Trier Germany,49.749992,6.6371433,Angabe Trier unsicher (siehe Universitätsmatrikeln: S. 108,Rauch: Domkapitel Mainz: S. 168 / verzeichnis der Mainzer Universitätsmatrikeln: S. 108 / Hersche: Einleitung: S. 130,15,#
Johann Philipp Franz Graf von Schönborn,#,#,05.02.1673,#,1673,Geburt,Geburt,#,Würzburg,3,Germany,Würzburg Germany,49.7913044,9.9533548,Taufe: Pfarrkirche St. Peter: Würzburg,Romberg: Bistümer der Kirchenprovinz Mainz: S. 287,15,#
Heinrich Ferdinand von der Leyen,#,#,15.12.1689,24.01.1690,1689,Gesandtschaft,Gesandter,Erzbistum Trier,Augsburg,1,Germany,Augsburg Germany,48.3705449,10.89779,zum Wahltag,Braun: Domkapitel: S. 350 / Wikipedia: Heinrich Ferdinand,8,#
Heinrich Ferdinand von der Leyen,#,#,16.02.1691,08.06.1691,1691,Gesandtschaft,Gesandter,Erzbistum Trier,England,2,United Kingdom,England United Kingdom,52.3555177,-1.1743197,#,Braun: Domkapitel: S. 350 f.,8,#
Heinrich Ferdinand von der Leyen,#,#,29.03.1682,08.01.1683,1682,Gesandtschaft,Gesandter,Erzbistum Trier,Frankfurt,2,Germany,Frankfurt Germany,50.1109221,8.6821267,zum Deputationstag,Braun: Domkapitel: S. 350,8,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,1741,#,1741,Gesandtschaft,Erster Mainzer Gesandter bei der Kaiserwahl,,Frankfurt,2,Germany,Frankfurt Germany,50.1109221,8.6821267,#,Nottarp: Mindener Domprobst: S. 121,8,#
Christoph Rudolf von Stadion,1679,#,#,#,1679,Gesandtschaft,Gesandter,Erzstift Mainz,Wien,2,Austria,Kaiserhof Wien Austria,48.1975454,16.3686303,#,Wikipedia: Christoph,8,#
Heinrich Ferdinand von der Leyen,#,#,08.03.1676,25.02.1677,1676,Gesandtschaft,Gesandter,Erzbistum Trier,Wien,2,Austria,Kaiserhof Wien Austria,48.1975454,16.3686303,zum Kaiser,Pauly: Bistümer: S. 313 / Braun: Domkapitel: S. 350 / Wikipedia: Heinrich Ferdinand,8,#
Heinrich Ferdinand von der Leyen,#,#,04.08.1673,#,1673,Gesandtschaft,Gesandter,Erzbistum Trier,Regensburg,2,Germany,Regensburg Germany,49.0134297,12.1016236,zum Reichstag,Braun: Domkapitel: S. 350,8,#
Heinrich Ferdinand von der Leyen,#,#,12.11.1667,#,1667,Gesandtschaft,Gesandter,Erzbistum Trier,Rom,2,Italy,Rom Italy,41.9027835,12.4963655,visitatio liminum,Braun: Domkapitel: S. 350,8,#
Adolph Hund von Saulheim,#,#,06.10.1615,#,1615,Immatrikulation,Student,Universität Ingolstadt. Juristische Fakultät,Ingolstadt,1,Germany,Juristische Fakultät Ingolstadt Germany,48.7667395,11.4226498,Studium der Rechte,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,2,#
Adolph Hund von Saulheim,#,#,29.04.1613,#,1613,Immatrikulation,Student,Universität Köln,Köln,5,Germany,Köln Germany,50.937531,6.9602786,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,2,#
Johann Philipp Franz Graf von Schönborn,#,#,1697,1698,1697,Kavalierstour,#,#,England,2,United Kingdom,England United Kingdom,52.3555177,-1.1743197,#,Greipl: Schönborn: S. 442,3,#
Johann Philipp Franz Graf von Schönborn,#,#,1697,1698,1697,Kavalierstour,#,#,Niederlande,1,Netherlands,Niederlande Netherlands,52.132633,5.291266,#,Greipl: Schönborn: S. 442,3,#
Johann Philipp Franz Graf von Schönborn,#,#,1697,1698,1697,Kavalierstour,#,#,Paris,1,France,Paris France,48.856614,2.3522219,Widerspruch zur Residenz,Greipl: Schönborn: S. 442,3,#
Dietrich Kaspar von Fürstenberg,#,#,1643,1644,1643,Kommando über eine Kompanie Kürassiere,Kommandant,#,Böhmen,1,Europe,Bohemia Europe,49.817492,15.472962,#,Lahrkamp et al.: Geschichte: S. 97,1,#
Heinrich Wilhelm Harff von Dreyborn,#,#,04.08.1779,#,1779,Konfirmation,Domprobst,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 177,1,#
Dietrich Kaspar von Fürstenberg,#,#,1675,#,1675,Niederlage bei der Wahl zum Kurfürsten,#,#,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Lahrkamp et al.: Geschichte: S. 105,1,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,1765,#,1765,Niederlage bei der Wahl zum Mainzer Erzbischof,#,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Nottarp: Mindener Domprobst: S. 121,1,#
Dietrich Kaspar von Fürstenberg,#,#,19.08.1648,#,1648,Niederlage in der Schlacht bei Lens,Obrist eines spanischen Reiterregiments,#,Lens,1,France,Lens France,50.42893,2.83183,#,Lahrkamp et al.: Geschichte: S. 98,1,#
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,#,#,#,Präsident,Präsident,???,Mainz,12,Germany,Mainz Germany,49.9928617,8.2472526,ORT UNSICHER: muss nachrecherchiert werden,Weidenbach: Breidbach-Bürresheim: S. 103 /,1,#
Johann Philipp Franz Graf von Schönborn,#,#,??.08.1724,#,1724,Reise,#,,Mergentheim,1,Germany,Hochmeister-Residenz Mergentheim Germany,49.488537,9.7704158,Ziel: Bewegung zur Resignation in der kurmainzischen Koadjutorie-Angelegenheit,Romberger: Bistümer der Kirchenprovinz Mainz: S. 306,1,#
Johann Philipp Franz Graf von Schönborn,#,#,1697,1698,1697,Residenz,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,Widerspruch zur Kavalierstour,Romberg: Bistümer der Kirchenprovinz Mainz: S. 290,1,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,19.02.1755,#,1755,Resignation,Domherr,Domkapitel Bamberg,Bamberg,4,Germany,Dom Bamberg Germany,49.8907746,10.882515,#,Hersche: Einleitung: S. 249 / Jürgensmeier: Bischofslexikon: S. 272,34,#
Johann Philipp Franz Graf von Schönborn,#,#,1698,#,1698,Resignation,Domherr,Domkapitel Bamberg,Bamberg,4,Germany,Dom Bamberg Germany,49.8907746,10.882515,#,"Germania Sacra online: ""Johann Philipp Franz Graf von Schönborn"" / Hersche: Domkapitel: S. 75",34,#
Marquard Schenk von Castell,#,#,25.08.1637,#,1637,Resignation,Domdekan,Domkapitel Eichstätt,Eichstätt,9,Germany,Dom Eichstätt Germany,48.8919581,11.1835667,#,Braun: Das Domkapitel Eichstätt: S. 441,34,#
Marquard Schenk von Castell,#,#,10.01.1638,#,1638,Resignation,Domherr,Domkapitel Eichstätt,Eichstätt,9,Germany,Dom Eichstätt Germany,48.8919581,11.1835667,Datum geht aus Weihe zum Bischof hervor / anders als für Resignation des Domdekanats ist für dieses Ereignis kein genaues Datum überliefert / Datum als terminus oder terminus ante quem,Reiter: Marquard II.: S. 239-240,34,#
Heinrich Wilhelm Harff von Dreyborn,Dez. 1749,Jan. 1750,#,#,1749,Resignation,Domherr,Domkapitel Hildesheim,Hildesheim,2,Germany,Dom Hildesheim Germany,52.1490222,9.9471512,#,Dylong: Domkapitel Hildesheim: S. 372.,34,#
Hugo Wolfgang von Kesselstatt,#,#,1687,#,1687,Resignation,Domherr,Domkapitel Lüttich,Lüttich,2,Belgium,Dom Lüttich Belgium,50.6329586,5.5697498,#,De Theux de Montjardin: Chapitré Saint-Lambért: Bd. 3: S. 345,34,#
Adolph Hund von Saulheim,#,#,10.12.1652,#,1652,Resignation,Domdekan,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,ohne Quellenangabe,34,#
Adolph Hund von Saulheim,#,#,22.06.1638,#,1638,Resignation,Domscholaster,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,ohne Quellenangabe,34,#
Christoph Rudolf von Stadion,#,#,10.01.1695,#,1695,Resignation,Domdekan,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 175 / Wurzbach: Stadion: S. 26,34,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,26.03.1743,#,1743,Resignation,Domkantor,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch:Domkapitel Mainz: S. 176,34,#
Hugo Wolfgang von Kesselstatt,#,#,18.12.1709,#,#,Resignation,Domkantor,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,ohne Quellenangabe,34,#
Hugo Wolfgang von Kesselstatt,#,#,18.09.1724,#,#,Resignation,Domdekan,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,ohne Quellenangabe,34,#
Johann Heppenheim genannt von Saal,#,#,17.07.1668,#,1668,Resignation,Domdekan,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 174,34,#
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,4.11.1679,#,1679,Resignation,Domscholaster,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 167,34,#
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,20.2.1685,#,1685,Resignation,Domdekan,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 175,34,#
Karl Emmerich Franz von Breidbach-Bürresheim,,,12.02.1738,,,Resignation,Domdekan,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 176,34,#
Lothar Friedrich von Metternich-Burscheid,#,#,12.02.1673,#,1673,Resignation,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,wg. Amtsantritt als Erzbischof,Hersche: Einleitung: S. 129,34,#
Hugo Franz Karl von Eltz (-Kempenich),#,1736,,#,,Resignation,Domkantor,Domkapitel Minden,Minden,4,Germany,Dom Minden Germany,52.288856,8.9191982,#,Nottarp Mindener Domprobst:: S. 121,34,#
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,1693,#,1693,Resignation,Domherr,Domkapitel Münster,Münster,2,Germany,Dom Münster Germany,51.9629806,7.6257716,#,Becker-Huberti: Die Tridentische Reform: S. 341,34,#
Dietrich Kaspar von Fürstenberg,#,#,1672,#,1672,Resignation,Domherr,Domkapitel Speyer,Speyer,6,Germany,Dom Speyer Germany,49.3172765,8.4412172,Einfache Resignation,Hersche: Einleitung: S. 128,34,#
Lothar Friedrich von Metternich-Burscheid,#,#,1652,#,1652,Resignation,Domherr,Domkapitel Speyer,Speyer,6,Germany,Dom Speyer Germany,49.3172765,8.4412172,wg. Wahl zum Bischof,Hersche: Einleitung: S. 166,34,#
Heinrich Wilhelm Harff von Dreyborn,#,#,1775,#,1758,Resignation,#,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,! Rauch gibt 1758 an: scheint aber nicht zu stimmen: s. Staatskalender,Dylong: Hildesheimer DK: S. 372 / Kurmainzer Hof- und Staatskalender 1775: S. 4,34,#
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1714,#,1714,Resignation,Domherr,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Hersche: Einleitung: S. 184,34,#
Lothar Friedrich von Metternich-Burscheid,#,#,1654,#,1654,Resignation,Domkustos,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Christ: Metternich-Burscheidt: S. 9,34,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1793,#,1793,Resignation,Domherr,Domkapitel Worms,Worms,6,Germany,Dom Worms Germany,49.6341372,8.3507182,#,Hersche: Einleitung: S. 249,34,#
Adolph Hund von Saulheim,#,#,1615,#,1615,Resignation,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,34,#
Adolph Hund von Saulheim,#,#,1623,#,1623,Resignation,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S.225,34,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,19.02.1755,#,1755,Resignation,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,Verzicht zugunsten seines Bruders Franz Erwein,Jürgensmeier: Bischofslexikon: S. 271 / Salver: Proben: S. 738.,34,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1784,#,1784,Resignation,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Hersche: Einleitung: S. 249,34,#
Johann Philipp Franz Graf von Schönborn,#,#,1719,#,1719,Resignation,Domprobst,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Hersche: Domkapitel: S. 195,34,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,1743,,#,Resignation,Generalvikar,Erzbistum Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,https://kalliope-verbund.info/de/eac?eac.id=116461977 (zuletzt aufgerufen am 17.06.2022).,34,#
Johann Philipp Franz Graf von Schönborn,#,#,1703,#,1703,Resignation,Stiftsherr,Stift St. Alban,Mainz,7,Germany,Stift St. Alban Mainz Germany,49.99,8.28,#,"Germania Sacra online: ""Johann Philipp Franz Graf von Schönborn""",34,#
Adolph Hund von Saulheim,#,#,19.02.1639,#,1619,Resignation,Stiftsherr,Stift St. Burkhard,Würzburg,3,Germany,Stift St. Burkhard Würzburg Germany,49.790067076707544,9.924947011480644,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,34,#
Adolph Hund von Saulheim,#,#,19.08.1639,#,1639,Resignation,Dekan,Stift St. Burkhard,Würzburg,3,Germany,Stift St. Burkhard Würzburg Germany,49.790067076707544,9.924947011480644,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,34,#
Heinrich Ferdinand von der Leyen,#,#,1705,#,1705,Resignation und Ablehnung der Wahl zum Fürstbischof,Fürstbischof,#,Eichstätt,9,Germany,Dom Eichstätt Germany,48.8919581,11.1835667,#,Pauly: Bistümer: S. 313 / Hersche: Einleitung: S. 90 / Wikipedia: Heinrich Ferdinand,1,#
Dietrich Kaspar von Fürstenberg,#,#,1644,#,1644,Rückkehr nach Mainz,#,#,Mainz,12,Germany,Mainz Germany,49.9928617,8.2472526,#,Lahrkamp et al.: Geschichte: S. 97,1,#
Johann Philipp Franz Graf von Schönborn,#,#,1681,#,1681,Schulbesuch,Schüler,Jesuitenschule,Aschaffenburg,2,Germany,Aschaffenburg Germany,49.9806625,9.1355554,#,WürzburgWiki: von Schönborn,6,#
Johann Heppenheim genannt von Saal,#,#,1619,1626,1619,Schulbesuch,#,#,#,22,Germany,Germany,51.165691,10.451526,"Wird von Wikipedia als ""Studium"" bezeichnet. Aufgrund des Alters eher ""Schule""?",Wikipedia: Johann von Heppenheim genannt vom Saal,6,#
Marquard Schenk von Castell,#,#,1617,#,1617,Schulbesuch,#,Jesuitengymnasium Dillingen,Dillingen,1,Germany,Jesuitengymnasium Dillingen Dillingen Germany,48.5790918,10.4940239,Vollständige Angabe bei Specht: Marquardus Schenk a Castell fil[ius] Joannis Eberhardi adm[issus] ad con[victum] et 3. class[em] gramm[aticam]: allerdings keine Erwähnung in den Matrikeln 1616 oder 1618,Braun: Das Domkapitel Eichstätt: S. 440 / Specht: Die Matrikel der Universität Dillingen: S. 474,6,#
Heinrich Ferdinand von der Leyen,#,1653,#,#,1653,Schulbesuch,#,#,Köln,5,Germany,Köln Germany,50.937531,6.9602786,#,Wikipedia: Heinrich Ferdinand,6,#
Lothar Friedrich von Metternich-Burscheid,#,#,#,1635,1635,Schulbesuch,Schüler,Universität Pont-à-Mousson,Pont-à-Mousson,2,France,Pont-à-Mousson France,48.90329,6.054868,#,Christ: Metternich-Burscheidt: S. 9,6,#
Heinrich Ferdinand von der Leyen,#,1653,#,#,1653,Schulbesuch,Schüler,#,Trier,2,Germany,Trier Germany,49.749992,6.6371433,#,Wikipedia: Heinrich Ferdinand,6,#
Johann Philipp Franz Graf von Schönborn,#,#,1687,#,1687,Studium,Student,Academia Julia,Würzburg,1,Germany,Academia Julia Würzburg Germany,49.7913044,9.9533548,#,Romberg: Bistümer der Kirchenprovinz Mainz: S. 290,24,#
Johann Heppenheim genannt von Saal,#,#,1630,#,1630,Studium,Student,Albertina,Freiburg,1,Germany,Albertina Freiburg Germany,47.9990077,7.8421043,#,Wendehorst: Das Stift Neumünster in Würzburg: S. 321 (https://books.google.de/books?id=CnkB23QthD8C&pg=PA321#v=onepage&q&f=false),24,#
Johann Philipp Franz Graf von Schönborn,#,#,1690,#,1690,Studium,Student,Jesuitenkolleg,Aschaffenburg,2,Germany,Aschaffenburg Germany,49.9806625,9.1355554,#,"Wendehorst: ""Johann Philipp Franz"": S. 546",24,#
Johann Philipp Franz Graf von Schönborn,#,#,1690,03.01.1693,1690,Studium,Student,Collegium Germanicum,Rom,4,Italy,Collegium Germanicum Rom Italy,41.9050908,12.4917397,Studium von Theologie und Kirchenrecht,Bärmann: Universität Mainz: S.726 / Romberg: Bistümer der Kirchenprovinz Mainz: S. 290,24,#
Johann Wilhelm Wolff-Metternich zur Gracht,#,1650,1644,#,1650,Studium,Student,Collegium Germanicum,Rom,4,Italy,Collegium Germanicum Rom Italy,41.9050908,12.4917397,Allerdings keine genauere Angabe bei Becker-Huberti: Die Tridentische Reform S. 47 mit Anm. 27 und auch kein Verweis: woher diese Angabe stammt / Becker-Huberti: Die Tridentische Reform im Bistum Münster: S. 47 mit Anm. 27 / Schmidt: Collegium Germanicum,ohne Quellenangabe,24,#
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1694,1696,1694,Studium,Student,Collegium Germanicum,Rom,4,Italy,Collegium Germanicum Rom Italy,41.9050908,12.4917397,#,Verzeichnis der Mainzer Universitätsmatrikeln: S. 108 / Rauch: S. 153,24,#
Marquard Schenk von Castell,#,#,1625,1627,1625,Studium,Student,Collegium Germanicum,Rom,4,Italy,Collegium Germanicum Rom Italy,41.9050908,12.4917397,Allerdings keine Erwähnung bei Schmidt: Das Collegium Germanicum in Rom und die Germaniker. Möglicherweise: da von Schenk von Castell nicht seinen Abschluss im Collegium Germanicum machte und Schmidt eine Auflistung der Alumni und Konviktoristen anfertigte,Reiter: Marquard II.: S. 239-240,24,#
Marquard Schenk von Castell,#,#,1628,#,1628,Studium,Student,Collegium Willibaldinum,Eichstätt,1,Germany,Collegium Willibaldinum Eichstätt Germany,48.8904616,11.1856246,#,Reiter: Marquard II.: S. 239-240,24,#
Christoph Rudolf von Stadion,#,1664,#,#,1664,Studium,Student,#,#,22,Germany,Germany,51.165691,10.451526,#,Wikipedia: Christoph,24,#
Dietrich Kaspar von Fürstenberg,#,#,1631,#,1631,Studium,Student,Universität Köln,Köln,5,Germany,Köln Germany,50.937531,6.9602786,#,Lahrkamp et al.: Geschichte: S. 96,24,#
